valsi	lojban	english	type_discrepancy
savru	le vi ru'i nai gusni se la'u li du'e savru mi le ka se viska	These flashes are too noisy.	x3: definition expects Entity (sensory channel); example uses "le ka se viska" (ka, Property), not Entity.
sazri	le pa pendo be mi pu sazri le minji le nu ri kakpa le dertu	My friend operated the machine so it would dig the ground.	
sefta	le sefta be le mi'u najnimre cu xutla	The orange has a soft surface.	
seksi	ti noi finpe ca seksi le ka punji le sovda vau le ka fetsi	This fish demonstrates its female sexuality by laying eggs.	
seksi	do seksi le ka se asna vau le ka ninmu	You took a sexy feminine pose.	
seksi	le mi'u tigni cu seksi le ka dasni pa tordu skaci vau le ka ninmu	The actor shows her female sexuality by wearing a short skirt.	
selci	mu'o nai do ro selci be le xadni cu cmima pa le so'i klesi	Furthermore, each cell in the body belongs to one out of many classes.	
selfu	le gerku cu selfu mi le ka bevri le cutci	The dog serves me by bringing shoes.	
senci	gau ko ganlo fa le moklu be do ca le nu do senci gi'a kafke	Cover your mouth when you sneeze or cough.	
senpi	mi senpi le du'u ba carvi	I doubt if it will rain.	
senpi	le jalge ca'o se senpi	The result is still in doubt.	
senta	ti senta le spati le cmana jo'u le vacri	This is a layer of plants between the mountain and the air.	
senva	mi senva le nu mi vofli ne'i le dilnu	I dream about flying in the clouds.	
senva	mi senva tu'a le sance be le carvi	I dream the sound of rain.	
sepli	zo i te sepli le jufra le jufra	{i} separates sentence from sentence.	
sepli	le briju pe mi cu sepli le zdani be mi zo'ei ze'a le cacra	My office is one hour away from my home.	
sepli	le xamsi ti ma sepli	What is the distance to the sea?	
setca	le mi'u mikce cu setca pa jesni pa birka be la alis se gau le nu le mi'u xukmi cu muvdu le ciblu	The doctor inserted the needle into Alice's arm so that the chemical got into the blood.	
sevzi	mi lumci le sevzi	I wash myself.	
sfani	xu le vi sfani cu ckape	Are these flies dangerous?	
sfasa	le mi'u rirni pu sfasa le mi'u verba le ka jai gau spofu fai le palta vau le ka na e'ande vo'e le ka kelci bu'u le zdani	The parent punished the child for breaking the plate by not allowing playing at home.	x3 and x4: definition expects (nu, Event or State); example uses "le ka jai gau spofu" and "le ka na e'ande ..." (ka, Property), not nu.
sfofa	au mi te vecnu le pa sfofa	I would like to buy a sofa.	
sfubu	mi pu sfubu le lenku djacu le korbi be le lalxu	I dived to the cold water from the shore of the lake.	
siclu	le mi'u nakni pu ca'o siclu le cladu	He was whistling something loud.	
sicni	ti me le sicni poi jdini lei fraso turni	This is a coin issued by French government.	
sicni	mi pu cpacu ci le sicni poi rupnu li pa	I got three coins one dollar each in value.	
sidbo	mi pu na te sidbo do le ka se la'u li xo kau ka'e xendo mi	I had no idea of how kind to me you can be.	
sidju	pei e'o do sidju mi le ka tadni le cmaci	Could you help me in studying math?	
sigja	xu le mi'u smani ca'o damva'u le sigja	Is the monkey smoking a cigarette?	
silka	la alis pu dasni pa silka pastu	Alice was wearing a silk dress.	
silka	le silka be le ankabuta ka'e tsali	Spider's silk can be durable.	
silna	e'o ko te cpacu le silna mi	Please, pass me the salt.	
silna	le silna be le sodna cu cidja	A salt of Sodium is a food.	
simlu	mi te simlu fi do fe le ka se la'u li du'e tadni	It seems to me that you are studying too hard.	
simlu	le nu troci pu simlu le ka na sarcu	The attempt seemed to be unnecessary.	
simsa	le skapi be ra pu simsa le snime le ka blabi	Her skin was white as snow.	
simsa	mi simsa le'e cipni le ka zifre	I am free as a bird.	
simsa	do simsa fi so'i da fe le mensi be mi	You are a lot like my sister.	
simsa	le pendo be mi mi simsa le ka xabju ma kau i le pendo be mi mi jibni le ka xabju ma kau	My friend and I live in similar apartments. My friend and I live nearby.	
simxu	do jo'u mi simxu le ka prami	You and I love each other.	
since	ko na terpa le since	Don't be afraid of snakes.	
sinma	no prije cu se sinma le se gugde be le gugde be vo'a	No wise man is respected by inhabitants of his own country.	
sinso	li no sinso le radno be li pai	0 is the sine of "pi" radians.	
sinxa	fi le karce e le cadzu fa le xunre gusni cu sinxa le ka bilga le ka co'u muvdu	For cars and pedestrians red light is a sign that they must stop.	
sipna	le verba ca'o sipna	The child is sleeping.	
sirji	le dargu cu sirji le snanu le berti	The road goes straight from the south to the north.	
sisku	mi sisku le ka te ciska vau le nenri be le mi'u nilce	I'm searching in the furniture for something that one can write on.	
sisti	ko sisti le ka bebna tavla	Stop babbling!	
sitna	mi cusku lo sitna be la alis bei le du'u le mamta nau nu'o mo'u klama le zdani	I quoted Alice referring to the fact that the mother is not yet at home .	
sivni	le tadji be le nu zbasu le poi tai kukte vau stasu cu sivni mi	How to make such a tasty soup is a secret to me.	
skaci	mi pu te vecnu pa tordu skaci	I bought a short skirt.	
skami	le skami pe mi cu spofu	My computer is broken.	
skapi	le skapi be le cnebo be mi cu xunre	The skin on my neck is red.	
skari	le mi'u dacti cu skari le xunre	It is colored red.	
skari	le mi'u xrula cu skari le tsani mi	To me the flower has the color of the sky.	
skicu	mi pu skicu le pa cinri lisri le panzi be mi	I told an interesting story to my child.	
skiji	ai mi se marce le skiji be le djacu	I am going to water ski.	
skiji	ei mi cikre le skiji be le djacu bei ti	I should repair runners of this water sled.	
skina	mi pu zgana pa skina be le crida	I watched a movie about magical beings.	
skori	ti skori bi da	This cable consists of 8 filaments.	
skori	tu skori le jinme	That is a metal cable.	
skuro	le mi'u skuro be le dertu cu ganra	The trench in the ground is wide.	
slabu	mi na se slabu la .kevin.	I'm not familiar with Kevin.	
slabu	la alis cu slabu mi le ka jukpa le kukte torta	Alice is familiar to me in cooking tasty cakes.	
slaka	zoi zoi.sla.zoi slaka la lojban	"sla" is a syllable in Lojban.	
slami	le slami pu jai rinka le nu le xance be mi cu cortu	The acid made my hand hurt.	
slanu	mi zgana le nu le karce pe mi zi'e pe le xa mei slanu cu zmadu le laldo karce pe mi le ka vlipa vau so'i da	I notice that my 6-cylinder car is much more powerful than my old car.	
slari	le limxone cu slari so'e remna	Lemon is sour to most people.	
slari	le mi'u ladru cu sutra le ka slari	The milk turns sour fast.	
slasi	ti noi dakli cu slasi	This bag is plastic.	
sligu	le mi'u ladru mo'u dunja gi'e ca sligu	The milk froze and is now solid.	
slilu	le mi'u gerku pu jersi le mi'u jatna fau le ka jai gau slilu le rebla be vo'a	The dog followed the master, wagging its tail.	
slilu	pa bombila pu slilu le snidu le ka te gusni le xunre jo'u le blanu	A light bulb was flickering every second changing from red to blue light.	
slilu	le mi'u re nanla pu slilu fi le ka bajra se ka'a jo'u te ka'a	The two boys were running to and fro.	
sliri	le sliri cu se pilno fi le ka zbasu le sacki	Sulfur is used for making matches.	
sluji	ko palpi le sluji be le birka be mi	Touch and feel the muscle of my arm.	
sluni	ai mi co'e le tamca jo'u le sluni	I'm going to have a tomato and an onion.	
sluni	ti noi stasu cu se vrusi le sluni	This soup tastes of onions.	
smacu	pa mlatu mo'u kavbu pa smacu	A cat has caught a mouse.	
smadi	mi na birti le se smadi be mi bei le tcima	I'm not sure in my guess about the weather.	
smadi	mi smadi le nu mi'o ba bai ze'u cadzu	I guess you and I will have to walk for long time.	
smaji	e'o do smaji	Please, be quiet.	
smaji	le mi'u xamsi cu simlu le ka smaji ti	The sea looks quiet in sound from here.	
smaka	mi smaka le tasta be le mi'u najnimre	I taste the taste of the orange.	
smaka	mi smaka pa najnimre	I taste an orange.	
smaka	mi smaka su'o titla	I feel something sweet.	
smani	le mi'u boske cu culno le smani	The forest is full of monkeys.	
smoka	mi fliba le ka zvafa'i le smoka pe mi	I can't find my socks.	
smuci	ko citka se pi'o le pa smuci	Eat with a spoon.	
smuci	ti smuci le nu kakpa le dertu	This is a scoop for digging ground.	
smuni	ma lojbo smuni zoi sy.hola.sy. poi spano	What is the Lojban for Spanish "hola"?	
smuni	.i mi pu te smuni zoi zoi.y.zoi le nu mi na birti	By saying {y} I meant that I wasn't sure.	x2: definition expects (Entity or Text) that has the meaning; example uses "le nu mi na birti" (nu, Event), not Entity or Text.
snada	mi pu snada le ka gasnu tu'a le fagri vau le ka jai gau mosra pa grana pa grana	I succeeded in producing fire by rubbing one stick against another.	
snanu	le pendo be mi cu xabju bu'u le snanu be ti bei le farna be le'e maksi jesni	My friend live to the south of this place in terms of magnetic needle direction.	
snidu	le nu mi pu bajra cu snidu li pa mu	I ran in 15 seconds.	
snime	le mi'u snime cu lenku	The snow is cold.	
snipa	le cirla pu snipa le moklu be mi	The cheese sticked to my mouth.	
snuji	mi pu citka pa snuji be le rectu bei le nanba	I ate a bread sandwich with meat inside.	
snura	mi'o snura le ka se gunta le bramlatu	We are safe from a possible attack of big cats.	x2: definition expects (nu, Event) threat; example uses "le ka se gunta" (ka, Property), not nu.
snuti	le ka darxi la alis cu pu to'e snuti la kevin	It was deliberate on the part of Kevin to hit Alice.	
snuti	le ka srera cu pu snuti le lanli	The error happened accidentally on the part of the researcher.	
sobde	ti stasu le sobde	This is a soya soup.	
sodna	la natriium cu sodna	Sodium (Na) is an alkali metal.	
sodva	mi pu pinxe le sodva be le bisli kruji	I was drinking an ice cream soda.	
solji	le solji cu kargu	Gold is expensive.	
solji	le letri te jorne poi le solji cu sefta cu xe benji se la'u li rau	Electrical junctions with gold surfaces are good transmitters.	
solri	ti solri so'o barda planeta	This is a home star of several big planets.	
sombo	xu do mo'u sombo le mi'u tsiju le dertu	Have you sown the seeds in the ground?	
sonci	ti se sonci pa ki'o ji'i da	This is an army of approximately 1000 soldiers.	
sorcu	ei mi klama le sorcu be le cidja	I should go to a food store.	
sorcu	xu le mi'u sorcu be le datni cu akti	Is the data store active?	
sorgu	ra pu jai gau farvi fai le sorgu te zu'e le ka jai gau citka le jipci	He was growing sorghum to feed chickens.	
sorta	mi sorta le ka gleki	I'm sort of happy.	
sovda	mi pu lebna so'o sovda be le jipci	I took several hen eggs.	
spaji	mi se spaji le nu do kakne le ka zgipli le tabra	I am surprised that you can play the horn.	
spali	le mi'u ninmu cu spali le xadni be vo'a le cakla	The woman polished her body with a chocolate.	
spano	xu le mi'u ninmu cu spano	Is she Spanish?	
spati	le mi'u spati cu banro	The plant is growing.	
speni	le speni be mi cu se jibri le ka mikce	My spouse works as a doctor.	
spisa	ko sabji le pa spisa be le plise mi	Give me a piece of an apple.	
spita	tu spita le verba le te bilma pe gau le vidru	That is a hospital treating children for viral diseases.	
spofu	le mi'u molki cu spofu le ka cupra le purmo	The mill is broken and is not producing the flour.	
spoja	le mi'u jbama pu spoja le pagbu	The bomb exploded into pieces.	
spuda	mi pu spuda le se retsku le ka spusku zo je'u	I responded to the question by replying "Yes."	
spuda	le mi'u prenu pu spuda le se friti be le mi'u fetsi le ka cmila	The person responded to her offer with laughter.	x3: definition expects (Entity or nu, Event) response; example uses "le ka cmila" (ka, Property), not Entity or nu.
spuda	le mi'u skami na spuda	The computer is not responding.	
sputu	mi pu sputu le tcati pa kabri le mi'u jubme	I spit some tea from a cup onto the table.	
sraji	le mi'u grana cu simlu le ka sraji mi	The rod seems to be standing vertically from my position.	
sraku	mi pu sraku le stedu be mi	I scratched my head.	
sralo	xu tu noi nixli cu sralo	Is that girl Australian?	
srana	.i do .e'o ciska le srana be le se lifri be do	Please write about your experience.	
srana	.i xu le nu do litru cu srana le jibri be do	Is your journey related to your job?	
srasu	lo'e bakni cu jai sarcu fai tu'a le'e srasu	Cows need grass.	
srera	le'i ninmu zo'u mi pu srera le ka cuxna fi le'i nu mi speni lu'a le'i bu	I made a mistake in choosing my spouse.	
srera	mi pu srera le ka klama la madrid	I made a mistake by going to Madrid.	
sruma	mi sruma le nu racli vau le nu ca'o smaji	I think it'd be rational to continue keeping silence.	
sruri	le mi'u ckule cu se sruri le cmana joi le lalxu le ro korbi	The school is surrounded by mountains and lakes from all sides.	
stace	ko stace mi le ka skicu le nu do pu zukte	Be honest with me in saying what you did.	
stace	sei mi stace mi na djuno	Frankly, I don't know.	
stace	sei mi stace na vajni mi	Frankly, it's not important to me.	
stagi	au stasu le stagi	I'd like a vegetable soup.	
stagi	ti noi genja cu patlu stagi	This root is a vegetable of potato plant.	
staku	mi se cinri tu'a le jungo staku	I have an interest in Chinese ceramics.	
stali	mi te mukti le ka stali vi ku ze'a le djedi be li ci	I am going to stay here for three days.	
stani	pa cribe ca'o cpare le stani be pa clani tricu	A bear is climbing up a trunk of a high tree.	
stapa	le mi'u xirma pu jundi stapa le bisli le sufti	The horse carefully stepped on the ice with her hoofs.	
stapa	mi pu stapa se ka'a le mi'u cripu	I stepped to the bridge.	
stasu	mi pu citka le stasu be le dembi jo'u le silna	I ate a bean soup with salt.	
stati	ra stati le ka zbasu le bambola	She has talent for making dolls.	
steba	le mi'u nakni pu steba le nu la alis di'i pante	He was frustrated of Alice's regular complaints.	
steci	fi le jmive fa le remna cu se steci le ka pilno le xislu	Among living beings, only humans use wheel.	
stedu	le stedu be le mi'u verba cu glare	The child's head is hot.	
stela	ti stela ti noi tanxe vau le ka te setca le mapti ckiku	This is a lock for sealing this box; a suitable key is to be inserted into it.	
stero	le te kojna be fi ti cu stero li pa	The vertex of this cone subtends 1 steradian.	
stici	la amerik cu stici la afrik le farna be le muvdu solri bei ti	From this vantage point, when observing the movement of the sun, Africa lies to the east, while America stretches to the west.	
stidi	da'i do stidi tu'a ma noi gusta	What restaurant would you recommend?	
stidi	le se stidi be le mi'u fetsi pu du le nu daspo le mi'u dinju	Her proposal was to destroy the building.	
stika	le nu vlile brife cu stika le se zukte be mi le so'i mei	Stormy winds change my actions a lot.	
stizu	e'a do jai gau muvdu fai le mi'u stizu ti gi'e zutse	Feel free to move the chair here and be seated.	
stodi	ra stodi le ka jinvi ma kau	He is stable in is views.	
stuna	le nurma zdani be mi cu stuna le zdani be bu'u le tcadu le farna be le litru solri bei ti	"My rural house sits westward from the city apartment, following the path of the sun's journey."	
stura	le dinju cu stura le bliku	Buildings are structures made of bricks.	
stura	le jufra cu stura le valsi	Sentence is a structure made of words.	
stuzi	ma stuzi le spita	Where is a hospital?	
sudga	le mi'u grute cu sudga le jisra	The fruit is dry of juice.	
sufti	ei do lasna le cutci le sufti be le xirma le dinko	You should fit the shoe to the horse's hoof with nails.	
suksa	le nu mi co'a cikna cu pu suksa le cabdei le temci be le nu mi sipna	Today I woke up fast.	
sumji	li bi sumji li mu li ci	8 = 5 + 3.	
sumne	mi sumne le panci be le xrula	I smell the scent of flowers.	
sumne	mi sumne le xrula	I feel a flower scent.	
sumti	zo mi sumti le ka dunda vau zo fi	{mi} is the third argument of the verb {dunda}.	
sunga	le sunga cu se panci le carmi	Garlic gives off a strong odor.	
sunla	le sunla be le lanme cu xutla	Lamb's wool is soft.	
surla	mi surla le ka vreta pa sfofa	I relax myself by lying on a sofa.	
sutra	la alis pu sutra le ka punji le mi'u botpi le mi'u tanxe	Alice was fast enough in putting the bottle into the box.	
tabno	le kolme cu marji le tabno	Coal consists of carbon.	
tabra	le xanto cu bacru le simsa be le sance be le tabra	Elephants produce sounds similar to trumpet.	
tadji	le nu jai gau glare cu tadji le nu jukpa le sovda	Heating is how you cook an egg.	
tadni	mi tadni le cmaci	I study math.	
tagji	le mi'u kosta cu tagji le mi'u verba le ka bekpi se pagbu	The coat is tight on the child in its back part.	
taksi	ai mi klama fu le taksi	I'm going to take a taxi.	
talsa	mi pu talsa le mi'u nakni le ka facki le danfu	I challenged him in finding the answer.	
tamca	mi na nelci le tasta be le tamca	I don't like the taste of tomatoes.	
tamji	mi pu darxi mi le pa mruli le tamji	I hit my thumb with a hammer.	
tamne	do tunba mi le ka patfu be le patfu	You are my cousin since we have the same paternal grandfather.	
tanbo	ne'a le tanbo pu sanli fa le pa nixli noi le flira zo'u darsi cisma	A girl with a cheeky smile on her face was standing at the blackboard.	
tance	gau ko punli fa le tance	Put the tongue out.	
tanjo	li pa tanjo le radno be li pai fe'i vo	1 is the tangent of "pi/4" radians.	
tanko	ra vasxu le tanko	He smokes tobacco.	
tanru	lu sutra bajra li'u cu tanru zo sutra zo bajra	{melbi ractu} is a tanru (compound verb) with seltau {sutra} and tertau {bajra}.	
tanru	zoi gy.drip fry.gy. tanru	"drip fry" is a tanru.	
tansi	ti tansi le salta	This is a bowl for salad.	
tanxe	ra pu bevri pa tanxe be le penbi	He brought a box of pens.	
tapla	le sefta be le mi'u dargu cu vasru le tapla	The road pavement contains tiles.	
tarbi	le mi'u ninmu pu cusku fi le mi'u nanmu fe lu ti tarbi mi do pe na ku li'u	She said to him "It's not your baby." (about her not yet born child).	
tarci	xu nai pluka fa le ka catlu le tarci ca le nicte	Isn't it pleasant to look at stars at night?	
tarla	mi na kakne le ka lumci le creka le tarla	I can't clean my shirt of the tar.	
tarmi	le balnema cu se tarmi le finpe	Whales have the form of fishes.	
tarti	traji xamgu se tarti do fa le ka da'i smaji	The best behaviour for you would be keeping silence.	
taske	mi taske	I'm thirsty.	
taske	mi mutce taske le jisra	I'm dying for a juice!	
tasmi	le ka plipe ga'u le bitmu pu tasmi le nu mi pu co'a zvati le purdi	Jumping over the fence, this is how l got into the garden.	
tasta	le tasta be le mi'u nanba cu titla	The bread has a sweet taste.	
tatpi	mi tatpi le nu do so'i roi pante	I'm tired of your numerous complaints.	
tatru	ra se tatru le barda	She has big boobs.	
tavla	.i ko smaji ca le nu mi tavla la .alis. fo la .lojban. fi le nu prami	Keep silence when I'm talking to Alice in Lojban about love.	x3: definition expects (Entity or Text) subject; example uses "le nu prami" (nu, Event), not Entity or Text.
taxfu	ti noi sunla kosta cu taxfu le zvati be le cmana gi'e jai bandu fi le nu lenku	This fur coat is used by those who are in mountains and protects from cold.	
tcaci	ra se ke xlali tcaci le ka batci le jgalu	He has a bad habit of biting his fingernails.	x2: definition expects Entity (holder of custom); example uses "le ka batci le jgalu" (ka, Property) as the habit/custom, not Entity.
tcadu	le ralju tcadu be le bu'u gugde cu darno ti	The main city of this country is far away from here.	
tcana	ti tcana le trene	This is a train station.	
tcati	mi pinxe le tcati be le crino pezli	I'm drinking tea brewed from green leaves.	
tcemi	mi poi tcemi do barda	I am big compared to you.	
tcena	le bratu carvi cu tcena fo ti fe le drata gugde le vlile	The violent hail spreads from here to another country.	
tcica	le nu le jbari cu xunre cu tcica mi le ka pensi le nu to'e se ckape le ka citka le mi'u jbari	The red color of the berry misled me into thinking that it's safe to eat it.	x3: definition expects (nu, Event or State) deceived into; example uses "le ka pensi ..." (ka, Property), not nu.
tcidu	.i mi mo'u tcidu le se ciska le bitmu	I have read what is written on the wall.	
tcika	le fetsi pu ku ca le se tcika mo'u klama	She arrived on time.	
tcika	mi ca le se tcika ba'o mo'u klama	I arrived in time.	
tcika	li cy pa ci tcika le nu ei mi'o cliva vau le bavlamdei	1 pm tomorrow is when we should leave.	
tcika	li cy so my ci no tcika le nu le pa zarci co'a akti vau le cabdei ti	The shop starts working today at 9:30.	
tcika	li cy pa no my mu sy re ze tcika le nu le jakne co'a vofli vau le cabdei la nipon.	Today at 10:05:27 (Japanese timezone) is the time of the rocket starting the flight.	
tcila	le bangu cu ro roi vajni tcila le mi'u cecmu	Language is always an important detail of a society.	
tcima	lu ma tcima la moskov ca le cabdei li'u lu le solri li'u	"What is the weather today in Moscow?" "It is sunny."	
tcini	ma tcini le nu do pu farlu	How did you fell down (what were the circumstances of your falling)?	
tcini	le nu tadni le saske poi le no'a na nelci cu cizra tcini	Studying a branch of science that you don't like is a crazy situation.	
tcita	ti noi sinxa cu tcita le valsi le ka cnino	This symbol labels words as being new.	
temci	le cacra be li ci cu temci le nu mi co'a klama fi le dinju vau le nu le mamta mo'u klama le dinju	Three hours passed from the time I left the building till the time the mother arrived at it.	
tende	ra tende le ka xusra lo jitfa	He tends to lie.	
tenfa	li so tenfa li ci li re	9 is the exponential result of 3 to the power 2.	
tengu	le pilka be le mi'u tricu cu se tengu le ka rufsu	The rind of the tree has a rough texture.	
terdi	ti terdi le remna	This is the planet of humans.	
terpa	mi terpa le nu le mamta cu viska ti	I'm afraid that my mom will see this.	
terto	ti voi tcana cu sorcu le terto be le ka bitni be li bi be'o le ka vreji	This network station stores 1 Terabyte of data.	
terto	le tarci cu terto le ka minli li re bi vau le ka te sepli le terdi	The star is 29 trillion miles away from the Earth.	
tigni	le mi'u za'u mei cu tigni le ka sutra dansu vau le tadni	They are performing a fast dance before students.	x2: definition expects (nu, Event) performance; example uses "le ka sutra dansu" (ka, Property), not nu.
tilju	ti noi tanxe cu je'a tilju le ka gau muvdu re'o le loldi	This box is really heavy in dragging it on the floor.	
tinbe	mi tinbe le te minde do	I obey your command.	
tinci	le mi'u tanxe cu marji le tinci	The box is made of tin.	
tinsa	le mi'u falnu cu tinsa le pinta le mi'u brife	The sail is rigid in horizontal direction against the wind.	
tirna	mi pu tirna le sance be pa palta poi ca'o porpi	I heard the sound of a plate breaking.	
tirse	le solji ne se mau le tirse cu tilju	Gold is heavier than iron.	
tisna	le mi'u kicne cu tisna le pimlu	The cushion is filled with feathers.	
titla	le mi'u badna cu titla mi	The banana tastes sweet to me.	
tivni	ti ca'o tivni pa skina la internet le skami pe le zdani be mi	This camera is streaming video via the internet to my home computer.	
tixnu	ma nuzba le tixnu be do	How is your daughter?	
toknu	ti toknu le cidja	This is an oven for cooking food.	
toknu	tu toknu le mudri	That is a wood burning stove.	
toldi	mi zgana le tarmi be le nu le toldi cu vofli	I observe how butterflies fly.	
tonga	le mi'u cipni ta'e bacru le tonga be le barda	The bird produces a high pitch.	
tonga	le bakni cu bacru le tonga be le cmalu	Cows produces low pitch.	
tordu	ti noi uenzi cu tordu le ka se pagbu xo kau valsi	This text is short in the number of words.	
torni	mi mo'u jai se torni le tornozelo	I twisted my ankle.	
torta	ti pu torta le grute e le kruji e le nanba	This was a cake made of fruits, cream and bread.	
traji	la alis cu traji le ka clani vau le nixli pe ti noi ckule	Alice is the tallest among girls of this school.	
trano	le vacri cu vasru le kijno e le trano	The air consists of oxygen and nitrogen.	
trati	le mi'u taxfu cu tarti le ka pinta	The dress is strained in horizontal direction.	
trene	ti trene le mu mei	This train consists of 5 cars.	
trene	so'i da trene le kumte la silka dargu	There are many camel caravans on the Silk Road.	
tricu	le cribe cu kakne le ka cpare le tricu	Bears can climb trees.	
trina	le mi'u jibri cu trina mi le nu mi zifre le ka cliva le briju ca le nu mi djica	The job attracts me in that I may leave the office when I want.	
trixe	le mi'u karce cu trixe le mi'u tricu le mi'u canko	The car is behind the tree when viewed from the window.	
troci	.i mi ba troci le ka cpare le tricu	I will try to climb the tree.	
troci	.i le troci ku po'o cu snada .i ku'i le troci po'o cu fliba	Only the one who tries succeeds. But the one who only tries fails.	
tsali	ei do tsali le ka tadni	You should study hard.	
tsali	do tsali le ka lafti le tilju	You are strong in lifting heavy objects.	
tsani	le tsani be le xamsi cu klina gi'e banli	The sky in the sea is clean and magnificent.	
tsapi	ti noi cidja cu culno le tsapi be le cpina	This food is rich in hot spices.	
tsiju	ti tsiju le manti le mamta	This is a fertilized cell producing ant queen.	
tsina	le tsani cu tsina pe'a le galtu le tarci	The sky is a high "pedestal" for stars.	
tubnu	ti noi ponjo se sanmi cu tubnu le rismi le sovda be le finpe	This Japanese meal is a tube of rice with caviar as its filling.	
tugni	mi tugni do le nu ti noi purdi cu melbi	I agree with you that this is a beautiful garden.	
tujli	le mi'u tujli ba zi se xrula da	The tulips will bloom soon.	
tumla	ti tumla pa drata gugde	This is a land of another country.	
tunba	do tunba mi le ka se mamta gi'e se patfu	You are my sibling since we are born from the same mother and father.	
tunka	xu le tunka cu narju	Is copper orange?	
tunlo	ra pu tunlo	He made a swallowing movement.	
tunta	le dakfu cu tunta le tuple be mi	The knife is poking my leg.	
tuple	je'u ma'a se tuple vo da	We actually have four legs.	
turni	ra turni le bu'u gugde	He governs this country.	
tutci	le vlaste cu plixau tutci le nu tadni le bangu	Dictionary is a useful tool for studying languages.	
tutra	le tutra be le manti cu zenba	The territory controlled by ants is extending.	
vacri	mi vasxu le noi culno le kijno jo'u le pluka panci vau vacri be le purdi	I breathe the air of the garden full of oxygen and pleasant scents.	
vajni	na vajni mi	I don't care.	
vajni	le nu do di'i tavla fo la lojban cu vajni mi le ka se jalge le nu do certu tu'a la lojban	Regularly talking in Lojban is important to me in that it results in you becoming an expert in Lojban.	x1: definition expects (ka, Property of x₂); example uses "le nu do di'i tavla ..." (nu, Event) as the important thing.
valsi	zoi sy.parte.sy. valsi le ka pagbu vau le spano	"parte" means "part" in Spanish language.	
vamji	ti noi cukta cu se vamji le barda mi le nu mi lanli ce'u	This book is worth a lot to me for studying.	x4: definition expects (ka, Property of x₃) use/appreciation; example uses "le nu mi lanli ce'u" (nu, Event), not ka.
vamji	ti noi cukta cu se vamji le ka carmi zanru ce'u	This book is worth high praising.	
vamtu	le mi'u verba cu vamtu le pu se citka vo'a	The child vomited what he had eaten.	
vanbi	le mi'u vanbi cu so'i mei	There are many factors.	
vanbi	le se vanbi be le mi'u jufra cu sinxa le nu le cusku pu na junri	The context of this sentence is a sign that the author wasn't serious.	
vanci	vanci coi	Good evening!	
vanci	ca vanci	It's evening now.	
vanci	ai ca le vanci be le bavlamdei bei vo'e mi vitke le mamta be mi	I'm going to visit my mother tomorrow evening.	
vanju	ti vanju le xunre vanjba	This is wine from red grapes.	
vasru	le mi'u tanxe pu vasru so'i cukta	The box was full of books.	
vasxu	e'u mi'o vasxu le so'o vifne vacri	Let's breathe some fresh air.	
vecnu	mi pu te vecnu le plise le rupnu be li re	I bought apples for 2 dollars.	
vecnu	mi pu te vecnu le ka se ctuca fi la lojban ze'a le cacra be li ci	I bought three hours of Lojban lessons.	
vecnu	mi pu te vecnu le ka jorne le kibro	I bought an internet connection.	
vedli	mi vedli le ka kansa la alis bu'u ti	I remember being with Alice at this place.	
venfu	la kevin pu venfu la alis le ka kusru la kevin vau le ka cinba la alis re'o pa li'anpi	He took a revenge on Alice being rude to him by kissing her on the cheek.	
vensa	ca le vensa be le re no no mu moi bei la australiias mi pu na zvati le zdani be mi gugde	During Australian winter of year 2005 I wasn't in my home country.	
verba	ti noi mlatu cu verba le masti be li ci le ka ca'o pinxe le ladru pe le mamta	This cat of three months old is still a kitten since he still drinks mother's milk.	x3: definition expects (si'o, Standard) immaturity; example uses "le ka ca'o pinxe le ladru" (ka, Property), not si'o.
vibna	xu ti pixra le vibna be pa bakni	Is this a picture of a cow's vagina?	
vidni	ti vidni le ka jai gau zgana le se klani be le livla	This is the screen for showing the amount of fuel.	
vidru	ti vidru la rotavirus le remna	This is Rotavirus that infects humans.	
vifne	xu le mi'u finpe cu vifne	Is the fish fresh?	
vikmi	le mi'u verba cu vikmi le pinca le xadni le nakpinji	The child excretes the urine from the body via the penis.	
viknu	le mi'u jisra cu viknu	The juice is thick.	
vimcu	no ladru cu ve vimcu	No milk left.	
vimcu	mi pu vimcu le jbari le mi'u torta le matne	I removed berries from the cake leaving the butter.	
vindu	le cakla cu vindu le gerku	Chocolate is a poison to dogs.	
vinji	mi pu ca'o vofli bu'u pa vinji be le prenu	I was flying in a passenger's airplane.	
vipsi	la kevin cu vipsi fi mi fe le ka platu	Kevin is my vice in planning.	
virnu	do pu virnu le ka klama le nenri be le jelca dinju	It was brave of you to enter the burning house.	
viska	pa plise zo'u mi viska le se skari be ri i le mi'u plise cu skari le xunre	There is an apple. I see a color of it. The apple is colored red.	
viska	mi viska le tarmi be pa najnimre i ri se tarmi le cukla	I see the form of an orange. The orange is round.	
viska	mi pu viska le nu le mi'u fetsi cu limna	I saw her swim.	x2: definition expects Entity (thing seen); example uses "le nu le mi'u fetsi cu limna" (nu, Event), not Entity.
vitci	le mi'u bombila cu vitci le ka te gusni i ja'o le mi'u bombila cu spofu	The light bulb gives an intermittent light. It must be broken.	
vitke	mi vitke le mensi be mi bu'u la moskov	I visited my sister in Moscow.	
vitke	ko vitke mi le zdani be mi	Be my guest at my home!	
